feature,missing_value,unique_value,matrix_correlation,shapley_value,xgboost,random_forest
tpay_fp_tc_n_rej_amt_30d,0.6029580517659059,not_unique,0.0,0.0,0.0,7.403599796843525e-06
tpay_fp_tc_n_rej_qty_30d,0.6029580517659059,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_fp_tc_y_app_qty_30d,0.6069106209358663,not_unique,0.0,0.0,6.3863677978515625,0.0
tpay_as_payer_fp_tc_y_app_distinct_users_30d,0.6069106209358663,not_unique,0.0,0.0,0.1680360734462738,0.0
tpay_as_payer_fp_tc_y_app_amt_30d,0.6069106209358663,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_card_regular_app_amt_7d,0.6199158485273493,not_unique,0.0,0.0,0.0,3.020378978215335e-05
tpay_as_payer_card_regular_app_qty_7d,0.6199158485273493,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_new_dev_app_amt_90d,0.6252709422414893,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_new_dev_app_distinct_users_90d,0.6252709422414893,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_new_dev_app_qty_90d,0.6252709422414893,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_fp_tc_any_y_app_amt_30d,0.6253984444727783,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_fp_tc_any_y_app_distinct_users_30d,0.6253984444727783,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_fp_tc_any_y_app_qty_30d,0.6253984444727783,not_unique,0.0,0.0,0.0,0.0
