feature,unique_value
tpay_card_transfer_canc_qty_90d,not_unique
tpay_as_payer_fp_dev_y_app_distinct_users_90d,not_unique
tpay_off_rej_hr_max_amt_7d,not_unique
tpay_as_payer_fp_tc_n_app_amt_1d,not_unique
tpay_new_user_ratio_over_registered_90d,not_unique
cbk,not_unique
tpay_ticket_regular_app_qty_90d,not_unique
tpay_fp_all_n_app_max_amt_90d,not_unique
tpay_fp_user_y_app_distinct_users_1d,not_unique
tpay_accmoney_transfer_rej_qty_7d,not_unique
tpay_qr_app_distinct_users_1d,not_unique
tpay_outbound_regular_app_amt_7d,not_unique
tpay_off_ratio_over_total_90d,not_unique
tpay_guest_rej_hr_distinct_users_90d,not_unique
tpay_as_payer_new_dev_app_distinct_users_90d,not_unique
tpay_accmoney_transfer_app_qty_1d,not_unique
tpay_on_rej_amt_30d,not_unique
tpay_qr_rej_hr_qty_30d,not_unique
tpay_as_payer_card_regular_rej_qty_30d,not_unique
tpay_as_payer_fp_tc_any_n_app_distinct_users_1d,not_unique
tpay_outbound_regular_amt_7d,not_unique
tpay_all_regular_canc_amt_7d,not_unique
tpay_as_payer_card_regular_amt_7d,not_unique
tpay_fp_any_y_app_distinct_users_7d,not_unique
tpay_mpos_amt_7d,not_unique
tpay_fp_all_n_app_qty_1d,not_unique
tpay_fp_dev_y_app_qty_1d,not_unique
tpay_off_app_qty_1d,not_unique
tpay_as_payer_fp_tc_n_app_amt_30d,not_unique
tpay_fp_tc_n_rej_amt_7d,not_unique
growth_rate_1h_od_30d,not_unique
tpay_all_accfund_canc_qty_1d,not_unique
tpay_as_payer_fp_tc_any_n_app_distinct_users_7d,not_unique
tpay_registered_rej_hr_qty_30d,not_unique
tpay_all_rej_distinct_users_30d,not_unique
tpay_d0_app_distinct_users_90d,not_unique
tpay_card_transfer_app_amt_7d,not_unique
tpay_all_regular_canc_qty_30d,not_unique
tpay_as_payer_card_transfer_app_amt_7d,not_unique
tpay_fp_dev_y_app_distinct_users_1d,not_unique
tpay_new_dev_ratio_over_registered_90d,not_unique
tpay_as_payer_card_regular_rej_amt_90d,not_unique
tpay_accmoney_regular_canc_amt_90d,not_unique
tpay_as_payer_all_regular_amt_30d,not_unique
